PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,,EKU 13900 ,,,,,GD 4H453 ,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
,,,,,2023-04-04 11:10:15,00:10:38,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-03 15:33:10,00:23:24,"Kłodzka 81, 58-330 Jedlina-Zdrój, Poland",Jedlina-Zdrój,,2023-04-03 11:15:52,01:20:23,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-04-04 11:22:54,01:36:46,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-25 12:21:16,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,00:13:16,,,,,,,,
,,,,,2023-04-04 12:12:22,,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-03 16:07:54,,"Kłodzka 81, 58-330 Jedlina-Zdrój, Poland",Jedlina-Zdrój,,2023-04-03 12:09:32,,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-04-04 15:31:19,,"Karola Szajnochy 14b, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-25 14:28:20,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,,2023-04-04 12:56:20,00:43:58,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-03 16:24:42,00:16:48,"Droga bez nazwy, 58-300 Wałbrzych, Poland",Wałbrzych,,2023-04-03 14:17:11,02:07:39,"Sławieńska 1a, 77-233 Suchorze, Poland",Suchorze,,2023-04-04 15:56:51,00:25:32,"Mazowiecka 21, 85-084 Bydgoszcz, Poland",Bydgoszcz,,2023-04-25 14:38:45,,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,00:10:25,,,,,,,,
,,,,,2023-04-06 07:42:01,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-03 19:35:02,,"Droga bez nazwy, 58-300 Wałbrzych, Poland",Wałbrzych,,2023-04-03 14:21:35,,"Sławieńska 1a, 77-233 Suchorze, Poland",Suchorze,,2023-04-05 04:00:44,,"Mazowiecka 21, 85-084 Bydgoszcz, Poland",Bydgoszcz,,2023-04-26 07:55:05,,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,,2023-04-06 07:58:39,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-03 20:22:57,,"Sady Dolne 7, 59-420, Poland",Sady Dolne,,2023-04-03 15:34:52,01:13:17,"Marcelin 29D, 78-422, Poland",Marcelin,,2023-04-05 05:12:21,01:11:37,"E75, 87-700, Poland",,,2023-04-26 08:05:46,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,, ,00:16:38,,,, ,00:47:55,,,, ,,,,, ,,,,, ,00:10:41,,,,,,,,
,,,,,2023-04-06 08:20:18,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 07:35:28,,"Sady Dolne 7, 59-420, Poland",Sady Dolne,,2023-04-03 19:28:23,,"Marcelin 29D, 78-422, Poland",Marcelin,,2023-04-05 05:18:57,,"E75, 87-700, Poland",,,2023-04-26 11:31:48,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,,2023-04-06 08:30:24,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 08:03:10,,"Międzyrzecze 18, 58-150, Poland",Międzyrzecze,,2023-04-03 21:45:42,,"Łomżyńska 51, 85-863 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 06:13:54,00:54:57,"Krzyżanówek 9B, 99-314, Poland",Krzyżanówek,,2023-04-26 11:43:57,,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,, ,00:10:06,,,, ,,,,, ,02:17:19,,,, ,,,,, ,,,,,,,,,
,,,,,2023-04-06 13:46:58,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 13:09:28,00:27:42,"Międzyrzecze 18, 58-150, Poland",Międzyrzecze,,2023-04-03 21:50:28,,"Łomżyńska 49-47, 85-863 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 06:16:03,,"Krzyżanówek 9B, 99-314, Poland",Krzyżanówek,,2023-04-26 12:39:08,00:12:09,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,,2023-04-06 13:55:14,,"Inwalidów 51C, 85-749 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 13:29:50,,"Mokrzeszów 33, 58-160, Poland",Mokrzeszów,,2023-04-03 22:00:55,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 06:54:25,00:38:22,"Droga bez nazwy, 99-311, Poland",,,2023-04-26 12:56:59,,"Józefa Ignacego Kraszewskiego 18, 85-240 Bydgoszcz, Poland",Bydgoszcz,,,,,,
,,,,, ,,,,, ,,,,, ,00:10:27,,,, ,,,,,,,,,,,,,,
