PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-03-13 09:46:33,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 17:25:39,,"Słupska 3, 76-200 Bydlino, Poland",Bydlino,,2023-03-02 07:28:01,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-01 16:54:56,,"E67, Poland",,,2023-03-03 08:32:03,01:16:37,"Generały Marii Wittek, 87-100 Toruń, Poland",Toruń,
 ,00:13:43,,,, ,00:19:50,,,, ,,,,, ,01:49:09,,,, ,,,,
2023-03-13 10:21:33,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 17:40:21,,"Słupska 3, 76-200 Bydlino, Poland",Bydlino,,2023-03-02 13:03:08,00:40:19,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-01 16:57:49,,"E67, Poland",,,2023-03-03 08:34:23,,"Generały Marii Wittek, 87-100 Toruń, Poland",Toruń,
2023-03-13 10:35:16,00:11:20,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 17:55:54,,"Bałtycka 8-9, 76-200 Słupsk, Poland",Słupsk,,2023-03-02 13:13:02,,"Aleja Prezydenta Lecha Kaczyńskiego 3, 85-806 Bydgoszcz, Poland",Bydgoszcz,,2023-03-01 17:13:27,,"Tadeusza Kościuszki 91-83, 16-402 Suwałki, Poland",Suwałki,,2023-03-03 08:44:55,,"Generały Marii Wittek, 87-100 Toruń, Poland",Toruń,
 ,,,,, ,00:15:33,,,, ,,,,, ,00:15:38,,,, ,00:10:32,,,
2023-03-13 10:41:47,00:14:31,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 18:13:10,,"Bałtycka 8-9, 76-200 Słupsk, Poland",Słupsk,,2023-03-02 13:27:22,00:09:54,"Aleja Prezydenta Lecha Kaczyńskiego 3, 85-806 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 07:28:57,,"Generała Władysława Sikorskiego 6, 16-402 Suwałki, Poland",Suwałki,,2023-03-03 12:52:07,,"Generały Marii Wittek, 87-100 Toruń, Poland",Toruń,
2023-03-13 10:53:07,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 18:25:42,,"Słupska 3, 76-200 Bydlino, Poland",Bydlino,,2023-03-02 13:37:00,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 10:42:11,,"Butrimonių g. 9, 50220 Kaunas, Lithuania",Kaunas,,2023-03-03 13:41:39,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
 ,,,,, ,00:12:32,,,, ,,,,, ,03:13:14,,,, ,00:49:32,,,
2023-03-13 13:03:36,00:10:27,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 08:10:26,,"Słupska 5, 76-200 Bydlino, Poland",Bydlino,,2023-03-03 15:46:45,00:09:38,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-02 13:42:34,,"Butrimonių g. 9, 50220 Kaunas, Lithuania",Kaunas,,2023-03-03 14:09:42,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
2023-03-13 13:18:07,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 08:36:14,,"Witosa 21-17, 76-251 Kobylnica, Poland",Kobylnica,,2023-03-03 16:45:03,,"Średnia 5, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-03-02 15:55:36,,"Królów Polskich 8-32, 19-300 Woszczele, Poland",Woszczele,,2023-03-03 14:17:03,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
 ,00:07:08,,,, ,,,,, ,,,,, ,02:13:02,,,, ,00:07:21,,,
2023-03-13 14:45:37,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 15:00:21,00:25:48,"Witosa 21, 76-251 Kobylnica, Poland",Kobylnica,,2023-03-06 03:52:09,00:58:18,"Średnia 5, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-03-02 16:51:55,,"Królów Polskich 8-32, 19-300 Woszczele, Poland",Woszczele,,2023-03-05 10:33:05,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
2023-03-13 14:56:04,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 16:24:03,,"Lampa 113 B, 83-333 Chmielno, Poland",Chmielno,,2023-03-06 08:45:25,,"Dworcowa 1, 43-430 Pogórze, Poland",Pogórze,,2023-03-02 20:04:49,,"Makowska 26D, 06-300 Przasnysz, Poland",Przasnysz,,2023-03-05 10:43:06,,"Fabryczna 21, 85-741 Bydgoszcz, Poland",Bydgoszcz,
 ,00:27:17,,,, ,,,,, ,,,,, ,03:12:54,,,, ,00:10:01,,,
2023-03-13 15:24:51,,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 19:17:52,01:23:42,"Lampa 113 B, 83-333 Chmielno, Poland",Chmielno,,2023-03-06 11:13:30,04:53:16,"Dworcowa 1, 43-430 Pogórze, Poland",Pogórze,,2023-03-02 20:21:15,,"Makowska 26F, 06-300 Przasnysz, Poland",Przasnysz,,2023-03-05 10:49:24,,"Fabryczna 21, 85-741 Bydgoszcz, Poland",Bydgoszcz,
2023-03-13 15:31:59,00:17:59,"Łęczycka 35, 85-737 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 21:51:40,,"Łowińska 6, 86-120 Pruszcz, Poland",Pruszcz,,2023-03-06 11:45:03,,"Słoneczników 31A, 43-340 Kozy, Poland",Kozy,,2023-03-02 20:29:14,,"Karwacz 43, 06-300, Poland",Karwacz,,2023-03-05 13:17:12,,"Polesie 129, 99-418, Poland",Polesie,
 ,,,,, ,,,,, ,,,,, ,00:07:59,,,, ,02:27:48,,,
2023-03-13 16:12:57,00:20:27,"Łęczycka 35, 85-737 Bydgoszcz, Poland",Bydgoszcz,,2023-03-03 21:59:23,02:33:48,"Łowińska 6, 86-120 Pruszcz, Poland",Pruszcz,,2023-03-06 12:00:11,00:31:33,"Słoneczników 31A, 43-340 Kozy, Poland",Kozy,,2023-03-03 08:07:02,,"Karwacz 43, 06-300, Poland",Karwacz,,2023-03-05 13:39:18,,"Droga bez nazwy, 99-311, Poland",,
2023-03-13 16:40:14,,"Bydgoska 34, 86-061 Brzoza, Poland",Brzoza,,2023-03-03 22:41:24,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 13:44:16,,"Głogoczów 532, 32-444, Poland",Głogoczów,,2023-03-03 08:37:43,,"Drążdżewo Małe 4, 06-214, Poland",Drążdżewo Małe,,2023-03-05 15:01:35,,"Główna 112, 08-440 Lipówki, Poland",Lipówki,
 ,02:11:05,,,, ,,,,, ,,,,, ,00:30:41,,,, ,01:22:17,,,
2023-03-13 17:02:05,,"Bydgoska 34, 86-061 Brzoza, Poland",Brzoza,,2023-03-06 07:57:38,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 14:32:19,,"Głogoczów 532, 32-444, Poland",Głogoczów,,2023-03-03 09:10:57,,"Drążdżewo Małe 4, 06-214, Poland",Drążdżewo Małe,,2023-03-05 15:18:35,,"Główna 112, 08-440 Lipówki, Poland",Lipówki,
2023-03-13 17:20:04,00:30:44,"Szosa Bydgoska 64, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-03-06 08:11:08,00:42:01,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 14:54:04,01:44:05,"Tyniecka 186, 30-376 Kraków, Poland",Kraków,,2023-03-03 11:18:51,,"Bielawki 3, 87-500 Rypin, Poland",Rypin,,2023-03-05 18:29:06,,"Sanowa 15, 37-500 Jarosław, Poland",Jarosław,
 ,,,,, ,,,,, ,,,,, ,02:07:54,,,, ,,,,
2023-03-14 04:15:35,,"Średnia 5, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-03-06 08:37:23,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 15:02:54,,"Tyniecka 186, 30-376 Kraków, Poland",Kraków,,2023-03-03 11:23:30,,"Bielawki 3, 87-500 Rypin, Poland",Rypin,,2023-03-06 08:11:05,03:10:31,"Chmielowskiego, 37-500, Poland",,
2023-03-14 04:36:02,00:08:55,"Inowrocławska 4A, 88-140 Gniewkowo, Poland",Gniewkowo,,2023-03-06 08:54:20,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 18:00:34,00:21:45,"Jaworek 20090, 46-325 Rudniki, Poland",Jaworek,,2023-03-03 13:35:01,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 08:18:45,,"Makowisko 16, 37-500, Poland",Makowisko,
 ,,,,, ,00:13:30,,,, ,,,,, ,,,,, ,,,,
2023-03-14 04:39:10,02:45:21,"Inowrocławska 4A, 88-140 Gniewkowo, Poland",Gniewkowo,,2023-03-06 09:57:21,,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 18:12:10,,"Jaworek 20090, 46-325 Rudniki, Poland",Jaworek,,2023-03-03 15:25:19,02:11:31,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 08:23:51,00:07:40,"Makowisko 16, 37-500, Poland",Makowisko,
2023-03-14 06:50:15,,"Grunwaldzka 16B, 84-230 Rumia, Poland",Rumia,,2023-03-06 10:07:22,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 19:30:41,,"DK11, 63-600, Poland",,,2023-03-03 15:52:16,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 08:33:56,,"Droga bez nazwy, 37-542, Poland",,
 ,00:40:23,,,, ,00:16:57,,,, ,02:57:40,,,, ,,,,, ,,,,
2023-03-14 06:57:08,,"Grunwaldzka 16B, 84-230 Rumia, Poland",Rumia,,2023-03-06 10:15:23,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-03-07 07:30:06,,"DK11, 63-600, Poland",,,2023-03-06 06:01:03,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 08:36:38,00:10:05,"Droga bez nazwy, 37-542, Poland",,
