PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-02-22 13:01:43,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 08:21:38,00:14:13,"Szlak Chrobrego 4, 48-300 Nysa, Poland",Nysa,,2023-02-02 08:36:21,,"DW580 193, 05-082 Babice Nowe, Poland",Babice Nowe,,2023-02-02 09:51:38,,"Pogodna 13, 62-050 Krosno, Poland",Krosno,,2023-02-02 07:40:27,,"Gdańska 140, 85-021 Bydgoszcz, Poland",Bydgoszcz,
 ,00:16:25,,,, ,,,,, ,,,,, ,,,,, ,00:06:14,,,
2023-02-23 07:35:00,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 08:57:29,,"Szlak Chrobrego 4, 48-300 Nysa, Poland",Nysa,,2023-02-02 13:48:11,00:55:05,"Ogrodnicza 11, 05-082 Babice Nowe, Poland",Babice Nowe,,2023-02-02 11:05:57,01:21:43,"Pogodna 13, 62-050 Krosno, Poland",Krosno,,2023-02-02 07:43:15,,"Gdańska 140, 85-021 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 07:43:42,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 09:02:49,,"Szlak Chrobrego 4, 48-300 Nysa, Poland",Nysa,,2023-02-02 14:25:29,,"Mszczonowska 15B, 96-325 Radziejowice-Parcel, Poland",Radziejowice-Parcel,,2023-02-02 11:16:32,,"Droga bez nazwy, 62-050 Mosina, Poland",Mosina,,2023-02-02 07:54:29,,"Fabryczna 23, 85-726 Bydgoszcz, Poland",Bydgoszcz,
 ,00:10:37,,,, ,00:05:20,,,, ,,,,, ,,,,, ,00:11:14,,,
2023-02-23 08:12:45,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 14:22:18,,"Szlak Chrobrego 4, 48-300 Nysa, Poland",Nysa,,2023-02-02 14:35:30,00:37:18,"Mszczonowska 15B, 96-325 Radziejowice-Parcel, Poland",Radziejowice-Parcel,,2023-02-02 11:36:15,00:10:35,"Farbiarska 30, 62-050 Mosina, Poland",Mosina,,2023-02-03 07:53:00,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 08:29:10,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 16:45:09,,"Warszawska 26-36, 63-640, Poland",,,2023-02-02 15:15:43,,"Luboszewy 508, 97-217, Poland",Luboszewy,,2023-02-02 12:40:42,,"E261, 62-260, Poland",,,2023-02-03 08:15:09,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,
 ,01:15:01,,,, ,02:22:51,,,, ,,,,, ,,,,, ,00:22:09,,,
2023-02-23 09:51:17,,"Przemysłowa, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 16:58:25,,"Słoneczna 15, 63-600 Kępno, Poland",Kępno,,2023-02-02 16:33:13,00:40:13,"Luboszewy 508, 97-217, Poland",Luboszewy,,2023-02-02 12:42:51,,"E261, 62-260, Poland",,,2023-02-03 13:34:21,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 10:01:54,00:17:01,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-02 17:04:17,,"Warszawska 26-36, 63-640, Poland",,,2023-02-02 17:34:15,,"Brzezińska 6, 95-010 Stryków, Poland",Stryków,,2023-02-02 13:56:38,01:04:27,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-03 13:48:08,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
 ,,,,, ,00:05:52,,,, ,,,,, ,,,,, ,00:13:47,,,
2023-02-23 10:09:47,01:33:41,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-03 07:54:06,,"Warszawska 26-36, 63-640, Poland",,,2023-02-02 17:36:48,01:01:02,"Brzezińska 6, 95-010 Stryków, Poland",Stryków,,2023-02-02 15:40:41,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-05 17:46:16,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 11:24:48,,"3 Maja 5, 89-340 Białośliwie, Poland",Białośliwie,,2023-02-03 08:12:44,,"Perzów 46, 63-642, Poland",Perzów,,2023-02-02 17:53:53,,"DW702 2-28, 95-001, Poland",,,2023-02-02 16:03:26,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-02-05 18:03:47,,"Fabryczna 23, 85-726 Bydgoszcz, Poland",Bydgoszcz,
 ,00:25:52,,,, ,00:18:38,,,, ,,,,, ,01:13:47,,,, ,00:17:31,,,
2023-02-23 14:09:52,,"3 Maja 5-1, 89-340 Białośliwie, Poland",Białośliwie,,2023-02-03 15:35:49,,"Perzów 48, 63-642, Poland",Perzów,,2023-02-02 18:00:18,00:17:05,"DW702 2-28, 95-001, Poland",,,2023-02-06 03:34:02,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-02-05 18:12:20,,"Fabryczna 16, 85-741 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 14:26:53,,"4 Stycznia 25, 89-340 Białośliwie, Poland",Białośliwie,,2023-02-03 16:03:00,,"Aleja Wojska Polskiego 62, 63-500 Ostrzeszów, Poland",Ostrzeszów,,2023-02-02 19:35:35,,"Józefa Ignacego Kraszewskiego 30B, 87-100 Toruń, Poland",Toruń,,2023-02-06 04:29:44,,"DK10, 89-100 Nakło nad Notecią, Poland",Nakło nad Notecią,,2023-02-05 18:28:33,,"Mazowiecka 21, 85-084 Bydgoszcz, Poland",Bydgoszcz,
 ,01:51:02,,,, ,00:27:11,,,, ,,,,, ,,,,, ,00:16:13,,,
2023-02-23 14:30:55,,"4 Stycznia 25, 89-340 Białośliwie, Poland",Białośliwie,,2023-02-03 16:11:41,,"Aleja Wojska Polskiego 62, 63-500 Ostrzeszów, Poland",Ostrzeszów,,2023-02-03 06:53:02,,"Piaskowa 1, 87-100 Toruń, Poland",Toruń,,2023-02-06 04:37:11,00:22:45,"DK10, 89-100 Nakło nad Notecią, Poland",Nakło nad Notecią,,2023-02-06 02:27:58,,"Mazowiecka 21, 85-084 Bydgoszcz, Poland",Bydgoszcz,
2023-02-23 16:04:36,00:10:07,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-03 18:50:56,,"Osiedle Porzeczkowe 9, 88-400 Żnin-Wieś, Poland",Żnin-Wieś,,2023-02-03 07:34:27,01:35:17,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 08:05:33,,"Daniela 17-1, 72-003 Dołuje, Poland",Dołuje,,2023-02-06 04:25:24,,"Wróblewo 74, 62-025 Kostrzyn, Poland",Kostrzyn,
 ,,,,, ,02:39:15,,,, ,,,,, ,,,,, ,01:57:26,,,
2023-02-24 08:31:03,02:06:16,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-03 18:56:56,,"Osiedle Porzeczkowe 9, 88-400 Żnin-Wieś, Poland",Żnin-Wieś,,2023-02-06 13:50:44,,"Karola Szajnochy 13, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 19:14:08,00:55:42,"Lubieszyn 8A, 72-002, Poland",Lubieszyn,,2023-02-06 04:30:44,,"Wróblewo 74, 62-025 Kostrzyn, Poland",Kostrzyn,
2023-02-24 08:56:55,,"Piekarska 4A, 87-134 Zławieś Mała, Poland",Zławieś Mała,,2023-02-03 19:32:16,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 14:00:22,00:41:25,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 19:26:19,,"Waleriana Łukasińskiego, 71-215 Szczecin, Poland",Szczecin,,2023-02-06 05:48:16,,"E261, 64-130, Poland",,
 ,02:09:45,,,, ,00:35:20,,,, ,,,,, ,,,,, ,01:17:32,,,
2023-02-24 10:35:39,,"Piekarska 4A, 87-134 Zławieś Mała, Poland",Zławieś Mała,,2023-02-03 19:41:51,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 14:17:24,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 19:32:43,03:28:22,"Waleriana Łukasińskiego 114, 71-317 Szczecin, Poland",Szczecin,,2023-02-06 05:53:37,,"E261, 64-130, Poland",,
2023-02-24 12:26:41,00:35:05,"Mleczarska 6, 87-500 Rypin, Poland",Rypin,,2023-02-03 19:56:25,,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 14:57:30,00:09:38,"Broniewskiego 65, 87-100 Toruń, Poland",Toruń,,2023-02-06 19:55:43,,"Ludowa, 71-700 Szczecin, Poland",Szczecin,,2023-02-06 07:51:00,,"Produkcyjna, 55-020, Poland",,
 ,,,,, ,00:14:34,,,, ,,,,, ,,,,, ,,,,
2023-02-24 13:04:34,,"Starorypin Prywatny 49, 87-500 Rypin, Poland",Rypin,,2023-02-07 07:48:19,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 15:29:55,,"Mikołaja Reja 15, 87-100 Toruń, Poland",Toruń,,2023-02-07 07:32:30,00:12:11,"Ludowa, 71-700 Szczecin, Poland",Szczecin,,2023-02-06 12:53:15,01:57:23,"Produkcyjna, 55-020, Poland",,
2023-02-24 13:14:41,00:12:34,"Toruńska 4, 87-500 Rypin, Poland",Rypin,,2023-02-07 07:53:45,,"Karola Szajnochy 14-18, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-06 15:38:44,00:40:06,"Jana Kilińskiego 8, 87-100 Toruń, Poland",Toruń,,2023-02-07 08:13:22,,"Szczecińska 19-24, 72-003 Dobra, Poland",Dobra,,2023-02-06 13:43:44,,"Pocztowa 12/14, 55-100, Poland",,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
